simulator,scenario,seed,distance_m,sf,adr_enabled,n_nodes,packet_seq,rssi_dbm,snr_db,rssi_mean_dbm,rssi_std_dbm,snr_mean_db,snr_std_db,pdr_percent,der_percent,packets_sent,packets_received,latency_ms,latency_p50_ms,latency_p90_ms,toa_ms,energy_per_tx_mj,energy_total_j,runtime_s,notes
ns3,dist5000,0,5000,7,false,1,1,-129.626,-12.595,-129.626,0.000,-12.595,0.000,100.000,0.000,1,1,66.833,66.833,66.833,66.816,0.000,0.000,10.067,""
ns3,dist5000,0,5000,7,false,1,2,-129.626,-12.595,-129.626,0.000,-12.595,0.000,100.000,0.000,2,2,66.833,66.833,66.833,66.816,0.000,0.000,70.067,""
ns3,dist5000,0,5000,7,false,1,3,-129.626,-12.595,-129.626,0.000,-12.595,0.000,100.000,0.000,3,3,66.833,66.833,66.833,66.816,0.000,0.000,130.067,""
ns3,dist5000,0,5000,7,false,1,4,-129.626,-12.595,-129.626,0.000,-12.595,0.000,100.000,0.000,4,4,66.833,66.833,66.833,66.816,0.000,0.000,190.067,""
ns3,dist5000,0,5000,7,false,1,5,-129.626,-12.595,-129.626,0.000,-12.595,0.000,100.000,0.000,5,5,66.833,66.833,66.833,66.816,0.000,0.000,250.067,""
ns3,dist5000,0,5000,7,false,1,6,-129.626,-12.595,-129.626,0.000,-12.595,0.000,100.000,0.000,6,6,66.833,66.833,66.833,66.816,0.000,0.000,310.067,""
ns3,dist5000,0,5000,7,false,1,7,-129.626,-12.595,-129.626,0.000,-12.595,0.000,100.000,0.000,7,7,66.833,66.833,66.833,66.816,0.000,0.000,370.067,""
ns3,dist5000,0,5000,7,false,1,8,-129.626,-12.595,-129.626,0.000,-12.595,0.000,100.000,0.000,8,8,66.833,66.833,66.833,66.816,0.000,0.000,430.067,""
ns3,dist5000,0,5000,7,false,1,9,-129.626,-12.595,-129.626,0.000,-12.595,0.000,100.000,0.000,9,9,66.833,66.833,66.833,66.816,0.000,0.000,490.067,""
ns3,dist5000,0,5000,7,false,1,10,-129.626,-12.595,-129.626,0.000,-12.595,0.000,100.000,0.000,10,10,66.833,66.833,66.833,66.816,0.000,0.000,550.067,""
